OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"10,084",141,"31,776",15.91,31.80,-30.50,150,31.05,32.00,75,"15,300.00",75,616.15,628.55,75,129.30,614.90,21.46,284,-37,344,
,"1,342",825,"3,936",15.76,25.10,-25.60,75,24.60,26.90,75,"15,350.00",75,650.65,683.20,75,111.85,669.05,23.11,20,3,78,
,"11,639","2,257","25,237",14.70,15.30,-26.15,75,18.90,21.00,75,"15,400.00",75,704.90,709.00,75,144.85,703.80,22.37,157,-48,381,
,741,29,"1,779",15.81,16.45,-16.75,75,15.85,18.00,75,"15,450.00",75,748.30,767.40,75,188.20,753.20,23.38,2,-,41,
,"24,627","-4,264","41,575",15.87,13.35,-13.50,75,13.35,13.50,"4,575","15,500.00",150,800.00,807.40,75,149.80,798.40,23.80,"1,760",-74,"4,948",
,"1,878",262,"2,577",15.78,10.30,-11.00,75,10.25,13.50,"1,500","15,550.00",75,798.00,897.15,75,121.10,825.40,21.31,2,1,4,
,"7,664","-1,932","11,684",16.11,9.00,-7.40,75,8.55,9.00,600,"15,600.00",300,887.30,906.55,75,147.10,877.10,22.55,3,-,142,
,652,-141,749,16.85,9.00,-4.30,75,7.15,9.00,75,"15,650.00",75,928.70,960.60,75,129.80,920.15,22.24,2,-,1,
,"7,365",228,"9,895",16.64,6.65,-3.85,75,6.50,6.85,300,"15,700.00",75,987.50,998.00,75,151.30,980.00,24.95,9,6,251,
,231,-90,351,17.15,6.25,-2.90,75,5.35,6.90,375,"15,750.00",75,"1,029.60","1,070.55",75,150.10,993.95,16.54,1,-1,1,
,"4,371",-333,"4,597",17.38,5.35,-3.05,375,5.35,5.50,75,"15,800.00",300,"1,082.10","1,102.45",75,124.50,"1,087.25",28.07,2,-,217,
,138,-,219,17.79,4.90,-2.35,75,4.65,5.40,75,"15,850.00",75,"1,096.10","1,177.15",75,-,978.40,-,-,-,-,
,"4,345",-25,"4,081",18.41,4.85,-1.90,600,4.45,5.20,600,"15,900.00",75,"1,182.30","1,203.35",75,257.70,"1,179.45",28.55,5,1,35,
,73,-8,147,18.81,4.45,-1.65,375,4.35,4.40,75,"15,950.00",75,"1,184.25","1,299.20",75,-,"1,074.30",-,-,-,-,
,"17,847",-126,"7,771",19.24,4.15,-1.35,"1,425",3.90,4.10,150,"16,000.00",75,"1,285.70","1,291.60",150,164.75,"1,286.80",31.71,352,-10,"4,250",
,216,9,98,19.76,4.00,-1.45,75,4.00,4.45,750,"16,050.00","2,625","1,303.45","1,393.75","2,625",123.30,"1,302.05",24.55,2,-,1,
,"1,088",-89,"1,038",19.86,3.35,-1.35,75,3.40,3.80,75,"16,100.00",75,"1,377.40","1,408.25",75,-165.60,"1,366.30",29.30,2,-,28,
